Date,Open,High,Low,Close,Adj Close,Volume
6/25/2021,350.4700012,350.7200012,348.8399963,349.4599915,344.5702209,28682800
6/28/2021,350.7799988,353.8500061,350.7200012,353.7099915,348.7607422,39130300
6/29/2021,353.5299988,355.019989,352.6700134,354.9899902,350.0228271,29426000
6/30/2021,354.8299866,355.230011,353.8299866,354.4299927,349.4706116,32724000
7/1/2021,354.0700073,355.0899963,352.6799927,354.5700073,349.6086731,29290000
7/2/2021,356.519989,358.9700012,356.2799988,358.6400146,353.6217346,32727200
7/6/2021,359.2600098,360.480011,356.4899902,360.1900024,355.1500549,38842400
7/7/2021,362.4500122,362.7600098,358.9400024,360.9500122,355.8993835,35265200
7/8/2021,355.7399902,359.6499939,354.4200134,358.769989,353.749939,50890000
7/9/2021,358.1700134,361.5,357.5700073,361.0100098,355.9585571,35184500
7/12/2021,362.4500122,362.8900146,360.8299866,362.4200134,357.3488464,25717700
7/13/2021,362.0299988,365.4700012,361.5400085,362.4200134,357.3488464,39723000
7/14/2021,364.8299866,365.4899902,362.2200012,363.0700073,357.9897156,35336400
7/15/2021,362.980011,363.1900024,358.4599915,360.519989,355.4754028,53391600
7/16/2021,361.3999939,362.4100037,357.2399902,357.6000061,352.596283,47262000
7/19/2021,354.0499878,355.1799927,352.0400085,354.6700134,349.7073364,64404600
7/20/2021,355.6300049,360.2799988,353.7999878,358.7900085,353.7696533,42183700
7/21/2021,358.3500061,361.5599976,358.1199951,361.5599976,356.500885,30259900
7/22/2021,361.769989,363.9599915,361.769989,363.9500122,358.8574524,30252200
7/23/2021,365.3099976,368.4899902,363.9200134,368.2000122,363.0480652,31960800
7/26/2021,367.4899902,368.8900146,366.6000061,368.4899902,363.3339539,28438100
7/27/2021,368.2200012,368.2200012,360.1600037,364.4299927,359.3307495,57933100
7/28/2021,365.6000061,367.4500122,363.2399902,365.8299866,360.7111206,42066200
7/29/2021,365.25,367.6799927,365.25,366.480011,361.3520508,25672500
